ATE,SE,VIS,OUT
-1.09837665636751,0.172044782049541,0,height
-0.651732663354357,0.0823890524955396,0,zlen
-0.0230348836297825,0.0174226499076363,0,log_weight
-0.0973233700296683,0.0824970826365401,0,zwei
0.183263061493903,0.103880954097039,0,zbmi
0.0127562910063551,0.0111518932970018,0,log_bmi
-0.269063242402664,0.181296496560201,1,height
-0.291259370663575,0.0865403899425183,1,zlen
-0.0193227745287512,0.0166749020678723,1,log_weight
-0.0436562573996566,0.0998054377202601,1,zwei
-0.0505339384831208,0.0767697340263264,1,zbmi
-0.0225104705632275,0.00872926402190943,1,log_bmi
0.0492390984989714,0.124975994423922,3,height
-0.205866094588043,0.119152884139555,3,zlen
-0.027713823290455,0.0112907302827256,3,log_weight
-0.362943613162699,0.063456659036291,3,zwei
-0.175017878850798,0.107992918947641,3,zbmi
-0.0237460434760198,0.00656306785049402,3,log_bmi
-0.62993488750507,0.213096989890506,6,height
-0.35989693469507,0.128087742624389,6,zlen
-0.0304374268830331,0.0109293315911908,6,log_weight
-0.236102340176393,0.0916917983351361,6,zwei
-0.0868367496928629,0.101416079867518,6,zbmi
0.00580955501531746,0.0075578171927574,6,log_bmi
-0.664550122448098,0.233190442197646,9,height
-0.2688999638345,0.109646282785919,9,zlen
-0.0376548596818591,0.0115253379272688,9,log_weight
-0.15049911800078,0.0723970665646971,9,zwei
-0.0932431778272884,0.0936169794222947,9,zbmi
-0.0201815956395303,0.00689669599851929,9,log_bmi
-0.350077029158313,0.150569928000853,12,height
-0.140776847252227,0.0635755013883631,12,zlen
-0.0185694200774558,0.0116610518730705,12,log_weight
-0.188139005862523,0.104061358041213,12,zwei
-0.168744809572028,0.0764262281698034,12,zbmi
-0.0158444796964199,0.0062548058157096496,12,log_bmi
0.215970298991058,0.206195403934244,15,height
-0.296011190323002,0.115183079646843,15,zlen
-0.0259926123276853,0.00656042033272723,15,log_weight
-0.154367776112424,0.101493660318679,15,zwei
-0.330873195513927,0.0691605561962583,15,zbmi
-0.026959448046064,0.00579767354225556,15,log_bmi
-1.27491014002572,0.404745441699245,18,height
-0.284498745398778,0.0911585106896248,18,zlen
-0.032030283776104,0.00851174213918904,18,log_weight
-0.262740378450198,0.0732991910831038,18,zwei
-0.0395654861322686,0.0798427389671876,18,zbmi
-0.00519582391861726,0.00615499325376143,18,log_bmi
-1.65997924251549,0.391190146576484,24,height
-0.541072740134286,0.12286509791275,24,zlen
-0.056457259149323,0.0109184473773255,24,log_weight
-0.433685213839702,0.110841815607224,24,zwei
-0.157018940075108,0.10282721972612,24,zbmi
-0.0153791032700743,0.0087283260480151,24,log_bmi
-1.42557655463488,0.343438450326142,36,height
-0.361245841100372,0.102296837388016,36,zlen
-0.0310492491412173,0.0149110218246279,36,log_weight
-0.243600355763964,0.118185857171718,36,zwei
-0.18734432867996,0.0810100479562607,36,zbmi
-0.015075953719083,0.00725680452075128,36,log_bmi
-1.09295391727935,0.246062179932538,48,height
-0.398141416769478,0.101941711988208,48,zlen
-0.0367476568924269,0.00968957507011663,48,log_weight
-0.318688549282931,0.141901181514681,48,zwei
-0.191972957589679,0.119871543019603,48,zbmi
-0.0128468425031493,0.0134810828340565,48,log_bmi
-1.15337734027401,0.252535689473571,54,height
-0.26435347155708,0.0556732689554718,54,zlen
-0.0667425515639611,0.0120312268891526,54,log_weight
-0.323664006157345,0.0834646910766279,54,zwei
-0.198087407894447,0.148159485640442,54,zbmi
-0.0235875448221811,0.011958306008557,54,log_bmi
-1.53950179561155,0.299082604430509,60,height
-0.281611944449951,0.0522094161795863,60,zlen
-0.0598218107418767,0.0188435097154966,60,log_weight
-0.424492013479336,0.114610808702513,60,zwei
-0.32153532159748,0.114373459497322,60,zbmi
-0.0366155682227488,0.00750155761249959,60,log_bmi
-0.675500993535637,0.2768175381845,66,height
-0.202291901928657,0.0540277844587273,66,zlen
-0.0581080749083618,0.0175165372385916,66,log_weight
-0.459066388190749,0.135046806712728,66,zwei
-0.33928492074466,0.109497279598994,66,zbmi
-0.02589850847676,0.0115719036917025,66,log_bmi
-2.31547487663843,0.505641788860997,72,height
-0.504428845831584,0.0744673682273092,72,zlen
-0.0770045809187803,0.017398497575948,72,log_weight
-0.552455298729946,0.125593173757443,72,zwei
-0.39727182880659,0.14490617192641,72,zbmi
-0.046153897646509,0.00704195388313483,72,log_bmi
-2.78307989263757,0.502196073620458,78,height
-0.472732600072729,0.113357420219527,78,zlen
-0.0842183192689357,0.0213955261679219,78,log_weight
-0.8367571299476,0.0858538254561144,78,zwei
-0.572017811766754,0.0894957685436686,78,zbmi
-0.05830952357054,0.00912972585672154,78,log_bmi
